,Unnamed: 0,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status,Cluster Names
59,346,2015-03-01 00:02:38,118.244.228.205,GET,/wap/init.asp,comicId=12535&chapterId=138413&_=1425168162335,223.104.21.149,Mozilla,1,21,1008,1,200,0,0,534,4
60,349,2015-03-01 00:02:39,118.244.228.205,GET,/wap/lastread.asp,comicId=12535&chapterId=138413&_=1425168162336,223.104.21.149,Mozilla,1,23,1008,1,200,0,0,556,4
61,350,2015-03-01 00:02:41,118.244.228.205,GET,/wap/load.asp,comicId=12535&chapterId=138413&imageId=0&_=1425168162337,223.104.21.149,Mozilla,1,26,1008,1,200,0,0,853,4
62,352,2015-03-01 00:02:41,118.244.228.205,GET,/wap/read.asp,chapterId=143034&comicId=12483,101.85.143.70,Mozilla,0,31,64,1,200,0,0,169,3
63,355,2015-03-01 00:02:41,118.244.228.205,GET,/wap/init.asp,comicId=12483&chapterId=143034&_=1425168165180,101.85.143.70,Mozilla,0,21,64,1,200,0,0,88,3
64,357,2015-03-01 00:02:42,118.244.228.205,GET,/wap/lastread.asp,comicId=12483&chapterId=143034&_=1425168165181,101.85.143.70,Mozilla,0,23,64,1,200,0,0,193,3
65,358,2015-03-01 00:02:42,118.244.228.205,GET,/wap/load.asp,comicId=12483&chapterId=143034&imageId=0&_=1425168165182,101.85.143.70,Mozilla,0,26,64,1,200,0,0,107,3
66,386,2015-03-01 00:02:46,118.244.228.205,GET,/wap/next.asp,comicId=12448&chapterId=133496&_=1425140222713,111.30.132.190,Mozilla,0,29,161,1,200,0,64,68,3
67,387,2015-03-01 00:02:46,118.244.228.205,GET,/wap/init.asp,comicId=12448&chapterId=133497&_=1425140222714,111.30.132.190,Mozilla,0,21,161,1,200,0,0,62,3
68,397,2015-03-01 00:02:48,118.244.228.205,GET,/wap/init.asp,comicId=12448&chapterId=133497&_=1425140222719,123.151.42.52,Mozilla,0,21,529,1,200,0,0,63,5
69,445,2015-03-01 00:02:58,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=125670&imageId=4&_=1425136472213,125.39.210.27,Mozilla,0,26,576,1,200,0,64,72,5
