,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status
1701,2015-03-01 00:07:12,118.244.228.205,GET,/wap/read.asp,chapterId=140318&comicId=12598,112.64.235.249,Mozilla,1,31,187,1,200,0,0,268
1716,2015-03-01 00:07:15,118.244.228.205,GET,/wap/info.asp,id=12535,42.91.68.126,Mozilla,0,20,1078,1,200,0,0,150
1753,2015-03-01 00:07:25,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=129089&imageId=5&_=1425153016465,58.22.113.157,Mozilla,0,26,1159,1,200,0,0,309
1847,2015-03-01 00:07:50,118.244.228.205,GET,/wap/next.asp,comicId=12654&chapterId=142723&_=1425168315025,111.161.52.28,Mozilla,0,29,142,1,200,0,64,70
1937,2015-03-01 00:08:15,118.244.228.205,GET,/wap/next.asp,comicId=12473&chapterId=135044&_=1425167984498,183.195.232.17,Mozilla,0,29,869,1,200,0,64,100
1939,2015-03-01 00:08:15,118.244.228.205,GET,/wap/init.asp,comicId=12473&chapterId=135045&_=1425167984499,183.195.232.17,Mozilla,0,21,869,1,200,0,0,91
2037,2015-03-01 00:08:41,118.244.228.205,GET,/wap/info.asp,id=12492,183.232.118.13,Mozilla,0,20,879,1,200,0,64,208
2065,2015-03-01 00:08:53,118.244.228.205,GET,/wap/info.asp,id=12441,61.49.57.61,Mozilla,0,20,1225,1,200,0,64,133
2070,2015-03-01 00:08:54,118.244.228.205,GET,/wap/info.asp,id=12422,122.156.242.206,Mozilla,0,20,488,1,200,0,0,191
2078,2015-03-01 00:08:58,118.244.228.205,GET,/wap/read.asp,chapterId=133751&comicId=12441,61.49.57.61,Mozilla,0,31,1225,1,200,0,64,183
2080,2015-03-01 00:08:58,118.244.228.205,GET,/wap/read.asp,chapterId=133751&comicId=12441,101.226.33.204,Mozilla,2,31,28,0,200,0,0,206
2085,2015-03-01 00:08:59,118.244.228.205,GET,/wap/init.asp,comicId=12441&chapterId=133751&_=1425168548986,61.49.57.61,Mozilla,0,21,1225,1,200,0,0,67
2086,2015-03-01 00:08:59,118.244.228.205,GET,/wap/lastread.asp,comicId=12441&chapterId=133751&_=1425168548987,61.49.57.61,Mozilla,0,23,1225,1,200,0,0,98
2087,2015-03-01 00:08:59,118.244.228.205,GET,/wap/load.asp,comicId=12441&chapterId=133751&imageId=0&_=1425168548988,61.49.57.61,Mozilla,0,26,1225,1,200,0,64,90
2104,2015-03-01 00:09:02,118.244.228.205,GET,/wap/prev.asp,comicId=12441&chapterId=133751&_=1425168548992,61.49.57.61,Mozilla,0,30,1225,1,200,0,64,78
2129,2015-03-01 00:09:05,118.244.228.205,GET,/wap/read.asp,chapterId=136583&comicId=12422,122.156.242.206,Mozilla,0,31,488,1,200,0,0,178
2133,2015-03-01 00:09:08,118.244.228.205,GET,/wap/init.asp,comicId=12422&chapterId=136583&_=1425168556085,122.156.242.206,Mozilla,0,21,488,1,200,0,0,152
2134,2015-03-01 00:09:08,118.244.228.205,GET,/wap/lastread.asp,comicId=12422&chapterId=136583&_=1425168556086,122.156.242.206,Mozilla,0,23,488,1,200,0,0,93
2135,2015-03-01 00:09:08,118.244.228.205,GET,/wap/load.asp,comicId=12422&chapterId=136583&imageId=0&_=1425168556087,122.156.242.206,Mozilla,0,26,488,1,200,0,0,125
2171,2015-03-01 00:09:16,118.244.228.205,GET,/wap/prev.asp,comicId=12422&chapterId=136583&_=1425168556091,122.156.242.206,Mozilla,0,30,488,1,200,0,0,98
2220,2015-03-01 00:09:28,118.244.228.205,GET,/wap/read.asp,chapterId=143257&comicId=12664,183.232.118.13,Mozilla,0,31,879,1,200,0,64,205
2231,2015-03-01 00:09:30,118.244.228.205,GET,/wap/lastread.asp,comicId=12664&chapterId=143257&_=1425168579978,183.232.118.13,Mozilla,0,23,879,1,200,0,64,119
2281,2015-03-01 00:09:45,118.244.228.205,GET,/wap/next.asp,comicId=12448&chapterId=133499&_=1425140222785,123.151.42.52,Mozilla,0,29,529,1,200,0,64,61
2302,2015-03-01 00:09:50,118.244.228.205,GET,/wap/info.asp,id=12397,111.161.61.49,Mozilla,0,20,147,1,200,0,64,118
2315,2015-03-01 00:09:54,118.244.228.205,GET,/wap/read.asp,chapterId=124515&comicId=12337,113.64.14.21,Mozilla,0,31,255,1,200,0,0,190
